@relation R_data_frame

@attribute new.names {1048_jEdit_4.2_4.3,1049_pc4,1050_pc3,1054_mc2,1061_ar4,1063_kc2,1064_ar6,1065_kc3,1066_kc1-binary,1067_kc1,1068_pc1,1071_mw1,1073_jEdit_4.0_4.2,1075_datatrieve,1100_PopularKids,1121_badges2,1167_pc1_req,11_balance-scale,12_mfeat-factors,13_breast-cancer,1442_MegaWatt1,1443_PizzaCutter1,1444_PizzaCutter3,1446_CostaMadre1,1447_CastMetal1,1451_PieChart1,1452_PieChart2,1453_PieChart3,1455_acute-inflammations,1456_appendicitis,1459_artificial-characters,1460_banana,1461_bank-marketing,1462_banknote-authentication,1463_blogger,1464_blood-transfusion-service-center,1465_breast-tissue,1466_cardiotocography,1467_climate-model-simulation-crashes,1473_fertility,1475_first-order-theorem-proving,1479_hill-valley,1480_ilpd,1484_lsvt,1487_ozone-level-8hr,1488_parkinsons,1489_phoneme,1490_planning-relax,1491_one-hundred-plants-margin,1492_one-hundred-plants-shape,1493_one-hundred-plants-texture,1494_qsar-biodeg,1495_qualitative-bankruptcy,1498_sa-heart,1499_seeds,14_mfeat-fourier,1500_seismic-bumps,1501_semeion,1504_steel-plates-fault,1506_thoracic-surgery,1508_user-knowledge,1510_wdbc,1511_wholesale-customers,1512_heart-long-beach,1514_micro-mass,1519_robot-failures-lp4,1520_robot-failures-lp5,1523_vertebra-column,1526_wall-robot-navigation-v3,1527_volcanoes-a1,1528_volcanoes-a2,1529_volcanoes-a3,1530_volcanoes-a4,1531_volcanoes-b1,1533_volcanoes-b3,1535_volcanoes-b5,1536_volcanoes-b6,1539_volcanoes-d2,1540_volcanoes-d3,1547_autoUniv-au1-1000,1548_autoUniv-au4-2500,1549_autoUniv-au6-750,1551_autoUniv-au6-400,1552_autoUniv-au7-1100,1553_autoUniv-au7-700,1554_autoUniv-au7-500,1555_autoUniv-au6-1000,1556_acute-inflammations,1558_bank-marketing,1560_cardiotocography-v2,1565_heart-h-v3,1568_nursery-v3,1570_wilt,15_breast-w,1600_SPECTF,164_molecular-biology-promoters,164_molecular-biology_promoters,173_solar-flare,187_wine,18_mfeat-morphological,210_cloud,21_car,23_cmc,24_mushroom,25_colic,28_optdigits,292_Australian,299_libras_move,29_credit-a,307_vowel,30_page-blocks,310_mammography,311_oil_spill,31_credit-g,329_hayes-roth,333_monks-problems-1,334_monks-problems-2,335_monks-problems-3,336_SPECT,338_grub-damage,35_dermatology,36_segment,377_synthetic_control,37_diabetes,38_sick,3_kr-vs-kp,40474_thyroid-allbp,40475_thyroid-allhyper,40496_LED-display-domain-7digit,40499_texture,40733_yeast_v7,40734_satellite_image_v2,40735_ozone_level_v2,40736_libras_move_v2,40_sonar,43_haberman,444_analcatdata_boxing2,446_prnn_crabs,448_analcatdata_boxing1,450_analcatdata_lawsuit,451_irish,458_analcatdata_authorship,461_analcatdata_creditscore,463_backache,464_prnn_synth,466_schizo,469_analcatdata_dmft,470_profb,475_analcatdata_germangss,481_biomed,48_tae,49_heart-c,50_tic-tac-toe,51_heart-h,53_heart-statlog,54_vehicle,55_hepatitis,566_meta,56_vote,59_ionosphere,61_iris,679_rmftsa_sleepdata,685_visualizing_livestock,694_diggle_table_a2,8_liver-disorders}
@attribute PC1 numeric
@attribute PC2 numeric
@attribute PC3 numeric
@attribute PC4 numeric
@attribute PC5 numeric
@attribute PC6 numeric
@attribute PC7 numeric
@attribute PC8 numeric
@attribute PC9 numeric
@attribute PC10 numeric
@attribute PC11 numeric
@attribute PC12 numeric
@attribute PC13 numeric
@attribute PC14 numeric
@attribute PC15 numeric
@attribute PC16 numeric
@attribute PC17 numeric
@attribute PC18 numeric
@attribute PC19 numeric
@attribute PC20 numeric
@attribute Class {Defaults,Tuning}

@data
1121_badges2,-3.091509,-4.705362,-0.522572,-0.265067,-2.56762,1.225583,1.257543,0.493772,1.164439,2.082384,-1.394973,-1.570591,1.164078,-0.389386,-1.968729,0.274579,-2.122649,0.00118,-1.259659,0.393196,Defaults
1167_pc1_req,-0.771202,0.832406,-2.680977,0.158581,2.333522,1.168431,-0.098989,0.382838,-0.941067,-0.824126,0.907738,-1.134478,-1.638168,-0.429968,-0.218905,0.641329,0.27241,-0.816503,0.668953,0.694533,Tuning
13_breast-cancer,-0.261774,1.418636,-2.822241,2.456616,0.30015,-1.568874,-0.071703,-1.418139,0.057511,-0.778212,0.530866,-0.441748,-0.427381,1.196204,0.762842,-0.012102,0.199567,-0.711048,-0.439292,-0.038025,Defaults
1442_MegaWatt1,-3.996255,-1.975613,-0.494592,-1.276799,1.643917,2.017295,1.302308,-1.242371,-0.12999,0.262413,-0.681647,-0.044825,0.294535,-0.424892,0.36407,0.420553,0.27292,0.048263,-0.555262,-1.073328,Defaults
1443_PizzaCutter1,-4.428329,-0.167331,-0.22126,-3.383227,1.456995,0.327273,1.156144,-0.041511,0.492858,-0.16087,-0.179161,1.212071,0.982442,-0.135998,0.255731,0.182634,0.693808,0.180427,-0.28454,-1.001228,Tuning
1444_PizzaCutter3,-3.789299,2.713272,-0.935695,-5.826853,3.734005,-2.277354,0.604611,2.576016,-0.11962,-0.607319,0.576239,0.351353,1.365964,0.352278,0.188463,-0.429924,-0.628374,0.488182,0.661757,0.18648,Tuning
1446_CostaMadre1,-2.789112,1.865701,-1.135556,-2.762662,1.295619,0.287246,1.345637,-1.480946,-0.088999,0.091102,-0.674303,-0.800766,-0.632617,0.395741,0.161293,1.276716,0.111937,0.439152,-0.333076,-0.673031,Defaults
1447_CastMetal1,-3.337504,0.126004,-0.907069,-2.50284,1.835873,0.836591,1.201534,-0.798949,-0.059288,-0.085587,-0.375801,-0.038646,0.0642,0.044634,0.244029,0.6939,0.283163,0.342144,-0.13848,-1.012071,Defaults
1451_PieChart1,-3.768151,2.319635,-0.464429,-4.229254,1.235377,-0.850728,1.091763,-0.099106,0.553751,-0.231621,-0.2084,0.628734,0.571443,0.122581,0.273176,0.426341,0.432227,0.475681,-0.388435,-0.747622,Defaults
1452_PieChart2,-6.392552,-1.730815,0.084237,-4.975333,3.515476,-0.69988,1.819917,0.567056,-0.233075,0.543528,-0.402282,-1.919963,1.175584,0.914837,0.320903,-0.314826,0.469327,-0.464131,0.210123,0.2921,Defaults
1453_PieChart3,-3.522508,3.317014,-0.971693,-5.557676,3.424015,-2.242969,0.614556,2.237821,-0.236866,-0.360826,0.413126,-0.332804,0.900676,0.452129,0.125045,0.050892,-0.606266,0.301407,0.359853,0.455313,Defaults
1463_blogger,-0.429656,-1.796272,-3.076293,3.666616,0.470765,-0.118743,-0.422093,-1.191485,0.227897,-1.940208,2.272093,1.090196,0.225977,2.048513,-0.416639,1.158881,1.680242,-1.016345,2.53493,-1.321063,Tuning
1466_cardiotocography,2.626373,-1.672788,2.711052,-3.19624,-2.906573,-0.325996,-0.377049,2.235809,1.480415,-0.16455,-1.298293,1.552009,2.211743,-0.942957,-1.302549,-0.832807,-0.793435,0.122835,-1.06377,0.426,Defaults
1490_planning-relax,-0.690191,2.849614,-1.868987,1.186429,0.936094,1.846663,0.010845,-0.657441,0.752802,-0.767467,0.373868,3.291275,-1.073935,-0.960528,0.198091,-0.195439,0.103272,-0.375806,0.294195,1.112732,Defaults
1494_qsar-biodeg,-0.701165,2.661412,-1.912572,-3.048416,-0.366243,-1.135406,-0.855771,1.25065,0.545243,-1.06844,0.620245,-0.144955,-1.197292,-0.437352,-0.823769,0.135745,-0.68963,0.720081,0.441945,0.039397,Defaults
1495_qualitative-bankruptcy,-1.608695,-4.570888,-2.709985,2.743387,-2.649269,0.128542,0.022591,0.044453,0.645156,-0.382994,0.087816,-1.074814,-0.209535,2.010035,0.868572,-1.129071,-0.213639,-0.694746,-0.967319,-0.243187,Tuning
1500_seismic-bumps,0.879223,-2.5326,-0.317588,-0.010748,-2.838213,2.348692,1.226885,1.246849,0.298578,0.162464,-0.391796,0.368634,-0.799266,0.220016,1.367177,-0.806747,0.569343,-1.140616,1.13077,0.383564,Defaults
1510_wdbc,-1.590577,-3.309981,-1.318506,-1.142851,-2.486656,1.085741,-0.225388,1.642674,0.673337,0.672912,-0.454252,-0.123065,-0.389239,-0.346292,-0.68117,0.17419,-0.767332,1.122461,-0.684896,-0.682372,Defaults
1511_wholesale-customers,-2.145663,-1.323715,-2.07618,-1.311926,-0.352048,0.613784,0.350794,1.831655,0.09663,-0.43265,1.082535,0.083759,-0.687425,0.391645,0.084715,-0.461879,0.612342,-0.776992,0.430295,0.929411,Tuning
1519_robot-failures-lp4,-0.063203,-1.486277,-0.938196,-2.404897,-1.168969,1.76942,-0.06598,-1.539313,-0.610762,0.258923,-0.341807,0.679347,-0.856829,0.525262,0.047943,-0.233971,1.206388,-0.932292,0.611458,1.054592,Defaults
1520_robot-failures-lp5,3.806429,-0.734461,-0.102051,-2.23654,-0.05627,1.690241,-0.558991,-1.122529,-1.262574,-0.142923,-0.959325,-1.398672,-0.514759,0.351282,0.084812,0.682305,0.292264,-0.533746,0.2257,0.043113,Defaults
1527_volcanoes-a1,-2.603125,6.133946,3.892804,2.377287,-2.565043,-0.533097,3.053518,-1.067757,-0.131502,4.414517,1.581892,-0.163483,3.530669,-1.680226,-1.971972,-1.447513,1.323424,0.388654,1.029029,-0.949003,Tuning
1528_volcanoes-a2,-3.084489,1.46472,2.732491,1.153613,-1.073283,0.794821,1.89821,-1.247994,0.596009,1.658262,-0.196952,0.339429,1.913008,-1.193866,-1.016023,-0.779887,0.543904,-1.046667,0.152378,-0.594642,Defaults
1529_volcanoes-a3,-2.548717,3.582157,2.704515,1.368084,-1.584814,0.329718,2.475391,-0.559831,0.506287,2.672904,0.654791,1.472021,3.004589,-1.463615,-1.024216,-1.359506,1.018665,-0.579444,0.162062,-0.043208,Defaults
1530_volcanoes-a4,-2.934275,1.955239,2.635994,1.282196,-1.032315,0.774686,2.143048,-1.169625,0.410333,2.140838,0.252959,0.415078,2.579395,-1.538051,-1.51761,-0.987326,0.855803,-0.617663,0.544182,-1.248919,Defaults
1531_volcanoes-b1,-7.48138,-0.215615,9.065329,3.501551,-0.298376,0.134362,-2.052131,1.005021,-1.423779,0.23498,-0.613829,0.777219,-0.911844,0.349375,-0.10059,1.406939,0.476583,-0.704201,-0.475535,-0.337743,Defaults
1533_volcanoes-b3,-7.456745,-0.26513,9.412271,3.451131,-0.389404,0.105285,-2.111534,0.997538,-1.425615,0.317275,-0.803135,0.797974,-0.84914,0.417415,0.091984,1.353989,0.793097,-0.700289,-0.410885,-0.300254,Defaults
1535_volcanoes-b5,-7.287927,0.417381,8.718035,3.328172,-0.210001,-0.104421,-2.127572,1.04322,-1.334518,-0.020387,-0.32594,1.266878,-0.777885,0.255874,-0.087815,1.37494,0.611681,-0.482987,-0.533993,-0.734912,Defaults
1536_volcanoes-b6,-7.493845,-0.220383,9.040428,3.496269,-0.327249,0.157365,-2.008181,1.00762,-1.387601,0.289002,-0.60393,0.767755,-0.879011,0.320511,-0.183994,1.400958,0.425498,-0.750179,-0.453088,-0.277696,Defaults
1539_volcanoes-d2,-8.01424,-3.809461,8.896804,4.278373,1.67302,1.181716,-1.881205,-1.183878,-1.023858,-1.389115,0.974255,-0.599888,-1.087966,-0.449754,0.748021,-1.797419,-1.815729,2.564488,1.604635,-0.301004,Tuning
1540_volcanoes-d3,-8.020085,-3.796709,8.993127,4.35631,1.654643,1.157391,-1.933803,-1.15449,-1.057322,-1.403945,0.959908,-0.579117,-1.119053,-0.437934,0.805567,-1.780191,-1.818685,2.591156,1.597558,-0.383126,Tuning
1556_acute-inflammations,-0.906116,-3.700722,-2.717285,1.030759,-2.945679,0.24499,0.14634,0.986738,0.75034,1.077941,-0.751365,-0.140274,1.298928,1.277549,-0.476165,0.654146,-1.246351,1.789794,-2.283117,-0.524089,Defaults
1558_bank-marketing,-4.014378,1.817133,1.099419,-0.073378,0.668472,-2.720756,-0.642288,-0.474429,0.259502,-0.573323,-0.169151,-0.618179,-0.421056,0.641936,0.283443,0.389157,-0.052309,-0.658391,-0.8872,0.120967,Tuning
1570_wilt,-4.537918,5.913533,2.910984,-0.148553,-0.642501,-1.653449,0.879571,-0.544091,0.098287,1.574725,0.050432,-1.589923,-1.332323,0.850776,0.380135,1.04489,-0.233916,-0.572062,-0.993971,2.109078,Tuning
1600_SPECTF,-0.940018,1.710575,-1.412745,-0.700472,-0.665199,0.984284,-0.090013,-1.863541,0.530502,-1.049054,-0.564834,0.118302,-1.992052,-0.583759,-0.765065,0.351148,-0.188653,-0.515311,0.501292,-0.393352,Defaults
164_molecular-biology_promoters,0.666654,-8.423164,-3.855326,3.966682,-1.293145,-8.311368,-1.376053,-2.049361,-0.510254,4.175235,-3.861464,0.175465,1.282073,-5.618242,4.431177,5.583213,-0.063781,1.76273,3.444116,2.41409,Defaults
18_mfeat-morphological,5.604039,-0.025252,2.404568,-1.681055,-0.177663,0.027069,1.406167,1.940347,-0.768486,0.432896,-0.43029,-1.819573,1.752377,0.439627,0.553511,0.056414,0.330257,-0.527417,1.600907,-0.489517,Tuning
292_Australian,-1.340087,-1.836021,-1.879623,-0.47691,-0.778388,1.022505,-0.812838,1.682117,0.507982,-0.725602,0.410131,0.400525,-0.743744,-0.732751,-1.853816,-0.025397,-1.218065,-0.189816,-0.013711,0.368001,Tuning
299_libras_move,7.83454,2.235735,2.256916,-2.077609,-2.163798,-0.236557,0.522686,-2.269594,0.319409,-0.502152,-1.644145,-1.340603,-0.656082,0.816608,1.433134,0.567434,-1.146512,0.308157,0.14475,-1.450367,Tuning
29_credit-a,-0.979401,-2.555205,-2.709185,-0.323007,-0.035903,-1.652119,-0.929868,2.171821,0.127918,-0.362906,0.480499,-0.288706,0.467671,0.292602,-0.762772,-0.186486,-1.190484,0.187005,-0.606054,-0.053074,Defaults
311_oil_spill,-4.644264,0.201307,0.30409,-2.738366,1.377007,0.133967,0.744729,-1.179428,0.656082,0.570905,-0.973215,-1.33563,-0.14355,-0.118708,-0.238167,0.453895,-0.331759,-0.461652,-0.558942,-0.612967,Defaults
336_SPECT,-2.124826,-0.549023,-2.648505,2.049024,0.275218,-1.187943,-0.868903,-1.80948,1.02316,-1.961648,0.148467,2.443967,1.477557,0.434466,0.121516,-0.447534,1.177048,-0.70184,-0.18108,-0.014943,Defaults
338_grub-damage,4.184541,1.026378,-1.568726,2.739716,1.170531,-0.552703,0.26409,-0.979559,-1.538589,-0.612377,-1.045254,-0.698594,0.026004,1.373162,0.764012,0.241149,0.411282,-0.234909,-0.610305,-0.447141,Tuning
377_synthetic_control,4.197537,-1.848393,1.693381,-1.244736,-3.145316,1.177176,0.089181,0.483022,0.868139,-0.625047,-0.747744,0.049818,-0.017632,-0.007845,1.444906,-1.133895,-0.094389,-1.279694,0.99643,-0.739966,Defaults
37_diabetes,0.099218,4.132845,-1.656085,0.448474,-0.919399,0.552795,0.15413,0.377571,0.130119,-0.343669,1.132814,0.899869,-1.198445,-0.937766,0.350812,0.101581,-0.230324,0.208265,0.040729,0.190353,Defaults
38_sick,-5.453998,0.653699,0.354537,-1.343841,0.733807,-4.113089,-0.772192,-1.035419,1.077264,-1.313494,0.021413,-0.471116,0.715773,0.987908,-0.345714,-0.086318,0.463101,-1.239553,0.160701,0.996956,Defaults
446_prnn_crabs,0.524803,0.475443,-2.764353,0.759055,-2.526184,1.556149,0.627864,1.546499,-0.146406,0.784497,0.334585,0.236532,-1.621089,0.757567,1.023228,0.946096,-0.489561,1.288976,-0.147714,-0.510338,Defaults
451_irish,-1.356564,-4.491759,-2.323645,2.275035,-2.548631,0.400497,-0.217793,1.307958,0.379183,0.138214,0.425557,-1.345773,-0.91563,0.927643,-0.197172,-0.790712,-0.867425,0.000714,-0.713932,-0.596421,Defaults
464_prnn_synth,-1.39299,-2.702922,-1.723332,1.521327,-2.341953,2.408538,0.522702,1.619719,0.020997,1.261474,0.573937,-0.513852,-0.345096,-1.223497,-1.2339,-0.12799,-0.79862,0.757956,0.062127,-0.949703,Defaults
466_schizo,1.717675,3.761282,-2.559974,1.178047,-0.234177,1.062767,0.095197,1.821648,-0.051966,0.194275,1.437472,2.445935,-0.989191,-0.397546,2.278642,0.382971,-0.637046,0.889471,0.079612,1.060883,Defaults
470_profb,1.202014,5.995363,-2.130779,2.299538,0.637392,-2.928089,0.908187,-0.050252,-0.277044,0.70803,1.336746,1.023343,-1.920355,-0.341939,0.64607,-0.731837,-0.10115,-0.644061,-0.470552,1.319117,Defaults
481_biomed,-1.025298,-1.333103,-2.228443,-0.64473,-0.866956,1.044269,0.35984,1.476412,-0.184985,0.075394,0.488287,1.012191,-0.397885,-0.454376,0.751483,-0.312929,0.509372,0.28371,-0.691112,-0.503812,Tuning
50_tic-tac-toe,1.719693,4.879733,-2.327175,3.567565,-2.198784,-3.089668,-0.537052,-3.299403,1.371771,-0.864935,2.180307,-2.136139,-0.437014,1.882018,-1.315199,1.622627,0.479356,-0.236236,2.454079,-1.935184,Tuning
56_vote,-1.286165,-5.452635,-2.414987,2.89522,-2.552866,-2.030673,-1.515964,-0.90253,1.774697,-0.938134,1.075709,-0.858916,1.16268,1.893769,-2.249676,1.335563,-0.790824,-0.333249,1.544713,-0.907269,Defaults
679_rmftsa_sleepdata,2.010066,3.010806,0.491161,3.034433,1.46131,2.259909,1.43296,0.862422,-2.018988,2.0025,1.194421,-1.008442,1.856688,-1.473844,-0.438619,0.275427,0.134148,0.281764,0.388278,-0.689808,Defaults
685_visualizing_livestock,6.189115,3.448907,-1.524535,3.547431,3.109299,-0.172841,3.214674,1.881755,-4.49759,4.803335,1.204086,-1.255723,3.074076,1.305197,-0.550243,-0.0487,2.29516,2.464278,0.491766,-2.047808,Defaults
694_diggle_table_a2,5.601632,0.451209,2.586619,-0.69576,-4.29086,0.710382,3.119439,1.27951,0.586067,2.344837,-1.302031,-1.30808,0.28139,1.679244,2.253104,0.215643,-0.951569,-1.786062,0.754235,2.920883,Tuning
1455_acute-inflammations,-1.210276,-4.467891,-2.469973,0.931707,-3.064375,-0.088619,0.103318,0.463691,0.960972,0.690702,-0.713885,-0.538138,0.8015,2.16342,-0.208318,0.4031,-0.831066,1.329827,-1.33652,-0.467361,Defaults
458_analcatdata_authorship,1.641309,-0.622906,0.732948,-1.880876,-3.191259,0.887459,-0.90167,-0.755327,0.995086,-0.357459,-1.4974,-1.90387,-1.582133,-0.530303,-0.016915,-1.510441,2.609753,-0.089915,-0.090616,0.365914,Defaults
448_analcatdata_boxing1,-0.4365,-1.86981,-2.854307,2.894788,-0.348534,-0.050729,1.145723,0.650344,-0.808263,0.50938,0.523817,0.459922,0.444503,2.012295,2.399678,-0.526702,0.77747,0.425205,-1.398522,-1.290951,Defaults
444_analcatdata_boxing2,0.561773,-1.146002,-3.905874,3.663897,-0.201869,0.016111,0.565913,1.750812,-1.392643,0.309876,1.180558,0.91885,0.016022,2.036158,2.284356,-0.535914,0.765965,0.718221,-1.50839,-1.161422,Tuning
461_analcatdata_creditscore,-2.696428,-3.666181,-2.296343,0.77562,0.418668,1.589841,0.980876,-0.607647,-0.394794,0.260124,-0.213945,-1.01337,-0.258507,0.787315,0.809162,-0.297843,1.121049,-0.380882,-0.777958,0.538426,Defaults
469_analcatdata_dmft,5.516314,2.133792,-0.537171,4.297777,3.054911,-0.222269,-0.768642,-0.582995,-1.717138,-0.490781,0.005378,-1.736224,2.733426,0.422232,-0.211649,-0.186077,-0.58482,-0.017587,-0.762575,-0.946132,Tuning
475_analcatdata_germangss,4.769385,3.207938,-1.988228,3.342728,2.532827,0.080273,-0.91248,0.515999,-1.536378,-0.429619,0.317372,-0.41001,1.637528,0.640086,0.177819,0.411747,-0.704364,0.345337,-1.39667,0.55811,Tuning
450_analcatdata_lawsuit,-4.921571,-2.365542,0.324249,0.286431,-1.539706,1.591041,2.389888,-1.772622,1.465081,1.267547,-0.968078,0.268176,1.095025,-0.210462,-1.62371,-0.274034,0.060338,-1.971428,0.295542,1.064576,Defaults
1456_appendicitis,-2.818552,-1.094947,-1.695413,-0.23895,-0.095934,2.261566,1.676245,-1.404191,0.134669,-0.226503,-0.650669,1.784128,-0.619127,0.388917,-0.124726,0.36609,1.403853,-0.331808,0.323918,0.293522,Tuning
