@relation R_data_frame

@attribute datasets {1048_jEdit_4.2_4.3,1049_pc4,1050_pc3,1054_mc2,1061_ar4,1063_kc2,1064_ar6,1065_kc3,1066_kc1-binary,1067_kc1,1068_pc1,1071_mw1,1073_jEdit_4.0_4.2,1075_datatrieve,1100_PopularKids,1121_badges2,1167_pc1_req,11_balance-scale,12_mfeat-factors,13_breast-cancer,1442_MegaWatt1,1443_PizzaCutter1,1444_PizzaCutter3,1446_CostaMadre1,1447_CastMetal1,1451_PieChart1,1452_PieChart2,1453_PieChart3,1455_acute-inflammations,1456_appendicitis,1459_artificial-characters,1460_banana,1461_bank-marketing,1462_banknote-authentication,1463_blogger,1464_blood-transfusion-service-center,1465_breast-tissue,1466_cardiotocography,1467_climate-model-simulation-crashes,1473_fertility,1475_first-order-theorem-proving,1479_hill-valley,1480_ilpd,1484_lsvt,1487_ozone-level-8hr,1488_parkinsons,1489_phoneme,1490_planning-relax,1491_one-hundred-plants-margin,1492_one-hundred-plants-shape,1493_one-hundred-plants-texture,1494_qsar-biodeg,1495_qualitative-bankruptcy,1498_sa-heart,1499_seeds,14_mfeat-fourier,1500_seismic-bumps,1501_semeion,1504_steel-plates-fault,1506_thoracic-surgery,1508_user-knowledge,1510_wdbc,1511_wholesale-customers,1512_heart-long-beach,1514_micro-mass,1519_robot-failures-lp4,1520_robot-failures-lp5,1523_vertebra-column,1526_wall-robot-navigation-v3,1527_volcanoes-a1,1528_volcanoes-a2,1529_volcanoes-a3,1530_volcanoes-a4,1531_volcanoes-b1,1533_volcanoes-b3,1535_volcanoes-b5,1536_volcanoes-b6,1539_volcanoes-d2,1540_volcanoes-d3,1547_autoUniv-au1-1000,1548_autoUniv-au4-2500,1549_autoUniv-au6-750,1551_autoUniv-au6-400,1552_autoUniv-au7-1100,1553_autoUniv-au7-700,1554_autoUniv-au7-500,1555_autoUniv-au6-1000,1556_acute-inflammations,1558_bank-marketing,1560_cardiotocography-v2,1565_heart-h-v3,1568_nursery-v3,1570_wilt,15_breast-w,1600_SPECTF,164_molecular-biology-promoters,164_molecular-biology_promoters,173_solar-flare,187_wine,18_mfeat-morphological,210_cloud,21_car,23_cmc,24_mushroom,25_colic,28_optdigits,292_Australian,299_libras_move,29_credit-a,307_vowel,30_page-blocks,310_mammography,311_oil_spill,31_credit-g,329_hayes-roth,333_monks-problems-1,334_monks-problems-2,335_monks-problems-3,336_SPECT,338_grub-damage,35_dermatology,36_segment,377_synthetic_control,37_diabetes,38_sick,3_kr-vs-kp,40474_thyroid-allbp,40475_thyroid-allhyper,40496_LED-display-domain-7digit,40499_texture,40733_yeast_v7,40734_satellite_image_v2,40735_ozone_level_v2,40736_libras_move_v2,40_sonar,43_haberman,444_analcatdata_boxing2,446_prnn_crabs,448_analcatdata_boxing1,450_analcatdata_lawsuit,451_irish,458_analcatdata_authorship,461_analcatdata_creditscore,463_backache,464_prnn_synth,466_schizo,469_analcatdata_dmft,470_profb,475_analcatdata_germangss,481_biomed,48_tae,49_heart-c,50_tic-tac-toe,51_heart-h,53_heart-statlog,54_vehicle,55_hepatitis,566_meta,56_vote,59_ionosphere,61_iris,679_rmftsa_sleepdata,685_visualizing_livestock,694_diggle_table_a2,8_liver-disorders}
@attribute PC1 numeric
@attribute PC2 numeric
@attribute PC3 numeric
@attribute PC4 numeric
@attribute PC5 numeric
@attribute PC6 numeric
@attribute PC7 numeric
@attribute PC8 numeric
@attribute PC9 numeric
@attribute PC10 numeric
@attribute PC11 numeric
@attribute PC12 numeric
@attribute PC13 numeric
@attribute PC14 numeric
@attribute PC15 numeric
@attribute PC16 numeric
@attribute PC17 numeric
@attribute PC18 numeric
@attribute PC19 numeric
@attribute PC20 numeric
@attribute PC21 numeric
@attribute PC22 numeric
@attribute PC23 numeric
@attribute PC24 numeric
@attribute PC25 numeric
@attribute PC26 numeric
@attribute PC27 numeric
@attribute PC28 numeric
@attribute PC29 numeric
@attribute PC30 numeric
@attribute PC31 numeric
@attribute PC32 numeric
@attribute PC33 numeric
@attribute PC34 numeric
@attribute PC35 numeric
@attribute PC36 numeric
@attribute PC37 numeric
@attribute PC38 numeric
@attribute PC39 numeric
@attribute PC40 numeric
@attribute Class {Defaults,Tuning}

@data
1068_pc1,-5.308023,0.319283,-0.438155,-4.730443,3.055874,-1.159688,1.46965,0.837809,-0.493575,-0.025626,0.051625,-1.987298,0.423636,1.046902,-0.0099,0.742978,0.092911,-0.109349,0.190529,-0.091996,-0.38518,0.565825,0.100994,-0.267846,0.11203,0.01124,0.29093,-0.111824,1.073186,-0.018185,0.672685,0.578482,-0.050573,0.642756,-0.466101,0.01547,0.006802,0.215918,0.233925,0.053973,Tuning
1071_mw1,-4.513988,-1.985114,-0.116391,-1.754536,1.529925,1.653578,1.382411,-1.172692,0.026449,0.369938,-0.780901,-0.182332,0.50149,-0.323139,0.371354,0.238534,0.232061,-0.056099,-0.553627,-0.932478,-0.797313,0.734558,0.143839,-0.596181,0.609367,-0.271988,0.554525,-0.066174,0.130802,0.212853,-0.034017,0.000221,0.425805,-0.020104,-0.107282,-0.119547,0.257968,0.018437,0.000197,0.276134,Defaults
1073_jEdit_4.0_4.2,-0.565296,-0.371959,-3.113371,-1.463569,1.418256,0.91926,-0.437142,3.150418,-1.069443,-0.47366,1.567281,0.324395,-0.467289,-0.262435,0.178375,0.355435,-0.107013,0.640993,0.459243,0.613875,0.359257,-0.042725,0.744265,-0.065047,-0.029603,0.130527,0.035894,0.274352,-0.452949,-0.262262,-0.185482,0.835637,-0.282434,0.279487,0.094032,0.133676,0.029584,0.272672,-0.144916,0.060063,Defaults
1075_datatrieve,-4.894324,-2.954647,-0.594495,-0.736275,1.453733,2.908562,2.646915,-2.450992,-0.092655,1.010052,-1.493163,-0.35181,0.369145,0.12366,0.582157,0.806707,0.801243,0.29318,-0.66712,-0.110267,-0.907042,-1.790496,-0.397424,1.978698,1.102042,-0.225419,-0.305918,0.722346,-0.105623,0.413181,0.279876,0.152483,-0.377164,0.084058,-0.001318,0.155832,-0.089981,0.073144,0.258428,0.196218,Tuning
1100_PopularKids,1.874935,1.869685,-1.404293,2.002535,1.877897,0.662683,-0.614499,-0.586953,-0.520707,-1.502212,0.081039,0.470142,-0.052419,-0.665939,0.164266,-0.347985,-0.264919,-0.51262,0.110417,0.155177,-0.586615,-0.101488,-0.039295,-0.015098,0.213119,0.843442,0.910583,-0.059029,-0.325067,0.112014,-0.345552,0.537489,0.122778,0.313914,0.164545,-0.038724,-0.336714,0.019505,0.743765,-0.298163,Defaults
1121_badges2,-3.091509,-4.705362,-0.522572,-0.265067,-2.56762,1.225583,1.257543,0.493772,1.164439,2.082384,-1.394973,-1.570591,1.164078,-0.389386,-1.968729,0.274579,-2.122649,0.00118,-1.259659,0.393196,-0.679717,-0.55024,-1.818803,-0.855247,-1.443414,-0.363284,-0.023337,-0.249583,-1.620861,0.937301,-0.03414,-0.362278,0.162773,0.296598,-0.394594,-0.064734,0.040432,-0.312902,-0.127849,0.388793,Defaults
1167_pc1_req,-0.771202,0.832406,-2.680977,0.158581,2.333522,1.168431,-0.098989,0.382838,-0.941067,-0.824126,0.907738,-1.134478,-1.638168,-0.429968,-0.218905,0.641329,0.27241,-0.816503,0.668953,0.694533,-0.663759,0.241415,0.516926,0.078496,-0.392445,0.216518,0.555662,-0.301465,-0.307778,-0.104648,-0.106172,0.541192,-0.211701,-0.01516,-0.275224,-0.451423,0.063186,-0.263071,-0.23202,0.161952,Tuning
13_breast-cancer,-0.261774,1.418636,-2.822241,2.456616,0.30015,-1.568874,-0.071703,-1.418139,0.057511,-0.778212,0.530866,-0.441748,-0.427381,1.196204,0.762842,-0.012102,0.199567,-0.711048,-0.439292,-0.038025,-0.8325,0.253142,-0.235682,-0.042608,-0.642128,0.519421,0.303767,-0.124197,0.669918,-0.738077,-0.602559,0.478848,0.24263,-0.348379,0.342713,-0.890711,0.04278,0.110665,-0.305572,-0.027493,Defaults
1442_MegaWatt1,-3.996255,-1.975613,-0.494592,-1.276799,1.643917,2.017295,1.302308,-1.242371,-0.12999,0.262413,-0.681647,-0.044825,0.294535,-0.424892,0.36407,0.420553,0.27292,0.048263,-0.555262,-1.073328,-0.813212,0.388797,-0.150971,-0.330271,0.592372,-0.460066,0.266042,0.166012,0.060139,0.089742,-0.074604,-0.258551,0.320521,0.141057,-0.058232,0.014655,0.192206,-0.145285,0.060616,0.157312,Defaults
1443_PizzaCutter1,-4.428329,-0.167331,-0.22126,-3.383227,1.456995,0.327273,1.156144,-0.041511,0.492858,-0.16087,-0.179161,1.212071,0.982442,-0.135998,0.255731,0.182634,0.693808,0.180427,-0.28454,-1.001228,-0.150916,0.46929,-0.192417,-0.793815,-0.177611,-0.704949,0.894309,0.113771,0.143256,0.2465,0.46545,0.24281,0.175793,-0.133956,-0.282142,0.013658,0.343758,-0.130803,-0.02731,-0.087368,Defaults
1444_PizzaCutter3,-3.789299,2.713272,-0.935695,-5.826853,3.734005,-2.277354,0.604611,2.576016,-0.11962,-0.607319,0.576239,0.351353,1.365964,0.352278,0.188463,-0.429924,-0.628374,0.488182,0.661757,0.18648,0.37306,-0.032184,-0.78417,-0.062281,0.253975,0.916407,-1.71085,0.074865,0.291857,0.022364,-0.451943,-0.582524,0.214027,0.096075,0.016912,0.281632,0.073434,0.152071,0.128897,-0.240416,Defaults
1446_CostaMadre1,-2.789112,1.865701,-1.135556,-2.762662,1.295619,0.287246,1.345637,-1.480946,-0.088999,0.091102,-0.674303,-0.800766,-0.632617,0.395741,0.161293,1.276716,0.111937,0.439152,-0.333076,-0.673031,0.02256,-0.290699,-0.098019,-0.803281,-0.638655,-0.470718,0.33581,-0.160109,-0.009498,0.106526,0.127173,-0.095048,-0.061252,0.308728,-0.022266,-0.239407,0.47039,-0.011279,0.079554,-0.223309,Defaults
1447_CastMetal1,-3.337504,0.126004,-0.907069,-2.50284,1.835873,0.836591,1.201534,-0.798949,-0.059288,-0.085587,-0.375801,-0.038646,0.0642,0.044634,0.244029,0.6939,0.283163,0.342144,-0.13848,-1.012071,-0.215598,0.13997,-0.211586,-0.586852,-0.194275,-0.271041,0.890102,-0.084805,-0.302814,0.12156,0.061721,0.154837,0.285121,0.59679,0.106592,0.074572,0.307025,-0.00451,-0.00064,-0.238277,Defaults
1451_PieChart1,-3.768151,2.319635,-0.464429,-4.229254,1.235377,-0.850728,1.091763,-0.099106,0.553751,-0.231621,-0.2084,0.628734,0.571443,0.122581,0.273176,0.426341,0.432227,0.475681,-0.388435,-0.747622,0.144914,0.231391,-0.243799,-0.7357,-0.606179,-0.713457,0.375595,0.241917,0.416666,0.020774,0.699874,0.126752,-0.455165,-0.352659,-0.550028,-0.231289,0.462196,-0.080879,0.021925,0.024477,Defaults
1452_PieChart2,-6.392552,-1.730815,0.084237,-4.975333,3.515476,-0.69988,1.819917,0.567056,-0.233075,0.543528,-0.402282,-1.919963,1.175584,0.914837,0.320903,-0.314826,0.469327,-0.464131,0.210123,0.2921,0.162632,0.777285,-0.356525,-0.433537,0.561711,0.226494,-0.722164,-0.266583,0.468453,0.415222,-0.520452,0.659589,0.228658,1.092861,-0.884524,0.016747,-0.007379,0.526632,-0.287375,0.379326,Defaults
1453_PieChart3,-3.522508,3.317014,-0.971693,-5.557676,3.424015,-2.242969,0.614556,2.237821,-0.236866,-0.360826,0.413126,-0.332804,0.900676,0.452129,0.125045,0.050892,-0.606266,0.301407,0.359853,0.455313,0.074973,-0.00008,-0.677581,-0.211556,0.242928,0.552204,-1.755362,0.026213,0.709701,-0.012847,-0.264237,-0.745419,-0.233047,-0.542202,-0.278363,-0.108532,0.148153,0.120732,0.140449,0.003744,Defaults
1463_blogger,-0.429656,-1.796272,-3.076293,3.666616,0.470765,-0.118743,-0.422093,-1.191485,0.227897,-1.940208,2.272093,1.090196,0.225977,2.048513,-0.416639,1.158881,1.680242,-1.016345,2.53493,-1.321063,-0.749716,-1.608528,-0.419965,-1.078827,0.041632,-0.021239,-0.778289,0.111723,-0.31998,-0.823707,0.320452,0.592471,0.836749,-0.260208,-0.385556,0.195522,-0.387378,0.376309,0.559781,-0.087771,Tuning
1466_cardiotocography,2.626373,-1.672788,2.711052,-3.19624,-2.906573,-0.325996,-0.377049,2.235809,1.480415,-0.16455,-1.298293,1.552009,2.211743,-0.942957,-1.302549,-0.832807,-0.793435,0.122835,-1.06377,0.426,0.81404,-0.816331,-0.667605,0.430274,-1.494191,-0.659378,0.856101,0.367336,-0.002411,0.7049,0.739132,0.479858,-0.491885,-0.029669,-0.744716,0.107304,-0.880389,-0.132021,0.609532,-0.708136,Defaults
1490_planning-relax,-0.690191,2.849614,-1.868987,1.186429,0.936094,1.846663,0.010845,-0.657441,0.752802,-0.767467,0.373868,3.291275,-1.073935,-0.960528,0.198091,-0.195439,0.103272,-0.375806,0.294195,1.112732,0.65881,-0.762293,-0.005556,-0.304029,0.447045,0.229518,-0.14021,-0.922043,0.963812,0.25659,-0.692874,0.630811,0.192349,0.188115,-0.43695,-0.31149,0.181307,0.007305,0.437162,0.024993,Defaults
1494_qsar-biodeg,-0.701165,2.661412,-1.912572,-3.048416,-0.366243,-1.135406,-0.855771,1.25065,0.545243,-1.06844,0.620245,-0.144955,-1.197292,-0.437352,-0.823769,0.135745,-0.68963,0.720081,0.441945,0.039397,0.695767,0.152408,0.199846,0.63619,-0.302225,0.019655,-0.14116,0.409246,-0.159987,-0.517443,-0.039489,-0.017758,-0.392804,0.035889,-0.222423,-0.288361,0.104448,0.166943,-0.266832,0.38346,Defaults
1495_qualitative-bankruptcy,-1.608695,-4.570888,-2.709985,2.743387,-2.649269,0.128542,0.022591,0.044453,0.645156,-0.382994,0.087816,-1.074814,-0.209535,2.010035,0.868572,-1.129071,-0.213639,-0.694746,-0.967319,-0.243187,0.640565,1.990937,-0.382366,-0.145188,0.211228,0.650516,-1.098226,-0.186303,-0.195386,0.451358,0.221239,-0.030254,0.164562,-0.336436,0.214157,0.583004,0.063575,-1.141372,0.215374,0.656827,Tuning
1500_seismic-bumps,0.879223,-2.5326,-0.317588,-0.010748,-2.838213,2.348692,1.226885,1.246849,0.298578,0.162464,-0.391796,0.368634,-0.799266,0.220016,1.367177,-0.806747,0.569343,-1.140616,1.13077,0.383564,-0.303844,0.542071,0.125284,-0.249864,-0.504476,0.83381,0.000951,-0.427208,-0.121335,-0.149712,-0.630099,-0.252167,-0.182685,-0.348865,-0.647931,0.264585,-0.22749,-0.205426,0.004623,-0.130108,Defaults
1510_wdbc,-1.590577,-3.309981,-1.318506,-1.142851,-2.486656,1.085741,-0.225388,1.642674,0.673337,0.672912,-0.454252,-0.123065,-0.389239,-0.346292,-0.68117,0.17419,-0.767332,1.122461,-0.684896,-0.682372,0.42665,0.827547,0.562735,-0.336914,0.935821,-0.486329,0.333194,-0.284759,-0.061158,-0.122657,-0.504237,0.254494,-0.291861,0.037837,-0.177623,-0.06308,0.241474,0.538861,-0.16853,-0.192186,Defaults
1511_wholesale-customers,-2.145663,-1.323715,-2.07618,-1.311926,-0.352048,0.613784,0.350794,1.831655,0.09663,-0.43265,1.082535,0.083759,-0.687425,0.391645,0.084715,-0.461879,0.612342,-0.776992,0.430295,0.929411,0.947713,0.974602,0.117395,-0.376815,0.033304,-0.479682,-0.211769,-0.257149,-0.838238,0.193891,0.401171,0.687499,0.12873,-0.22866,0.360688,0.193748,0.238642,0.186411,-0.030094,-0.040369,Tuning
1519_robot-failures-lp4,-0.063203,-1.486277,-0.938196,-2.404897,-1.168969,1.76942,-0.06598,-1.539313,-0.610762,0.258923,-0.341807,0.679347,-0.856829,0.525262,0.047943,-0.233971,1.206388,-0.932292,0.611458,1.054592,1.695713,-0.64582,0.248156,-0.434498,-1.221262,0.358639,0.316222,-0.078471,-1.032674,0.267395,-0.780671,-0.525467,0.237308,-0.013666,0.117121,-0.497019,-0.331908,0.014407,0.302136,-0.333857,Defaults
1520_robot-failures-lp5,3.806429,-0.734461,-0.102051,-2.23654,-0.05627,1.690241,-0.558991,-1.122529,-1.262574,-0.142923,-0.959325,-1.398672,-0.514759,0.351282,0.084812,0.682305,0.292264,-0.533746,0.2257,0.043113,0.998926,-0.490325,0.160775,-0.924149,-1.721291,-0.673486,0.408989,0.371602,-1.016386,0.36346,-0.345253,-0.694239,0.301881,-0.342399,0.09625,-0.402527,-0.002998,0.469406,-0.017336,-0.350173,Defaults
1527_volcanoes-a1,-2.603125,6.133946,3.892804,2.377287,-2.565043,-0.533097,3.053518,-1.067757,-0.131502,4.414517,1.581892,-0.163483,3.530669,-1.680226,-1.971972,-1.447513,1.323424,0.388654,1.029029,-0.949003,0.971661,1.090951,0.896116,0.545589,-0.096671,-0.227714,-0.020862,0.114368,-0.634365,0.251957,-0.944184,-0.218804,0.233091,0.228813,0.44888,0.279667,-0.472159,-0.455685,0.777891,0.263529,Tuning
1528_volcanoes-a2,-3.084489,1.46472,2.732491,1.153613,-1.073283,0.794821,1.89821,-1.247994,0.596009,1.658262,-0.196952,0.339429,1.913008,-1.193866,-1.016023,-0.779887,0.543904,-1.046667,0.152378,-0.594642,0.061595,0.581231,-0.242543,-1.250913,0.413386,0.55183,0.124941,0.38495,-0.205353,-0.069635,-0.201528,-0.192749,-0.236976,0.369428,0.013717,-0.282008,-0.092492,0.367104,-0.234304,0.018527,Defaults
1529_volcanoes-a3,-2.548717,3.582157,2.704515,1.368084,-1.584814,0.329718,2.475391,-0.559831,0.506287,2.672904,0.654791,1.472021,3.004589,-1.463615,-1.024216,-1.359506,1.018665,-0.579444,0.162062,-0.043208,0.368854,0.498883,-0.104234,-1.037063,0.636417,-0.127223,0.121982,0.316653,0.071156,-0.062749,-0.345081,-0.375504,-0.249182,-0.028128,-0.062589,-0.265378,-0.14973,0.019614,0.131985,0.22808,Defaults
1530_volcanoes-a4,-2.934275,1.955239,2.635994,1.282196,-1.032315,0.774686,2.143048,-1.169625,0.410333,2.140838,0.252959,0.415078,2.579395,-1.538051,-1.51761,-0.987326,0.855803,-0.617663,0.544182,-1.248919,0.385273,0.859538,0.055753,-0.528132,-0.092053,0.390685,0.08788,0.239739,0.015424,-0.128319,-0.320391,-0.122592,-0.155436,0.238077,0.090225,-0.272157,-0.030062,0.17274,0.279432,0.276736,Defaults
1531_volcanoes-b1,-7.48138,-0.215615,9.065329,3.501551,-0.298376,0.134362,-2.052131,1.005021,-1.423779,0.23498,-0.613829,0.777219,-0.911844,0.349375,-0.10059,1.406939,0.476583,-0.704201,-0.475535,-0.337743,-0.166431,-0.554031,-0.298911,-0.697415,-0.221292,0.471965,-0.228693,0.355114,0.171995,0.225995,-0.26674,0.35237,-0.232206,0.091389,0.169642,0.13575,-0.016032,0.027347,-0.245704,0.266356,Defaults
