Nro,OpenML dataset name,OpenML id,OpenML task,UCI Dataset name,Binary,Balanced,Artificial,Features,Examples,Classes,% Maj Class
40,hayes-roth,329,3491,hayes-roth,Multiclass,Balanced,Real,4,160,3,0.41
41,heart-c,49,48,heart-disease-processed-cleveland,Multiclass,Balanced,Real,13,303,5,0.54
42,heart-h,51,50,heart-disease-processed-hungarian,Binary,Balanced,Real,13,294,2,0.64
43,heart-long-beach,1512,9947,heart-disease-processed-va,Multiclass,Balanced,Real,13,200,5,0.28
44,heart-h-v3,1565,9894,heart-disease-reprocessed-hungarian,Multiclass,Balanced,Real,13,294,5,0.64
45,hepatitis,55,54,hepatitis,Binary,Imbalanced,Real,19,155,2,0.79
46,hill-valley,1479,9970,hill-valley-with-noise,Binary,Balanced,Real,100,1212,2,0.5
47,colic,25,25,horse-colic-surgical,Binary,Balanced,Real,27,300,2,0.64
48,ilpd,1480,9971,indian-liver-patient,Binary,Balanced,Real,10,583,2,0.71
49,ionosphere,59,57,ionosphere,Binary,Balanced,Real,33,351,2,0.64
50,iris,61,59,iris,Multiclass,Balanced,Real,4,150,3,0.33
51,kr-vs-kp,3,3,kr-vs-kp,Binary,Balanced,Real,36,3196,2,0.52
52,LED-display-domain-7digit,40496,125921,led7digit,Multiclass,Balanced,Artificial,7,500,10,0.11
53,lsvt,1484,9975,lsvt-voice-rehabilitation,Binary,Balanced,Real,310,126,2,0.67
54,mammography,310,3483,mammographic-mass,Binary,Balanced,Real,5,961,2,0.54
55,meta,566,4729,meta-data,Multiclass,Balanced,Real,21,528,24,0.04
56,mfeat-fourier,14,14,mfeat-fourier,Multiclass,Balanced,Real,76,2000,10,0.1
57,micro-mass,1514,9949,micro-mass-mixed-spectra,Multiclass,Balanced,Real,1300,360,10,0.1
58,molecular-biology-promoters,164,2373,molecular-promotor-gene,Binary,Balanced,Real,57,106,2,0.5
59,monks-problems-1,333,3492,monks1,Binary,Balanced,Real,6,556,2,0.5
60,monks-problems-2,334,3493,monks2,Binary,Balanced,Real,6,601,2,0.66
61,monks-problems-3,335,3494,monks3,Binary,Balanced,Real,6,554,2,0.52
62,libras_move_v2,40736,145797,movement-libras,Multiclass,Balanced,Real,90,360,15,0.07
63,mfeat-factors,12,12,multiple-features,Multiclass,Balanced,Artificial,217,2000,10,0.1
64,mushroom,24,24,mushroom,Binary,Balanced,Real,21,8124,2,0.52
65,nursery-v3,1568,9892,nursery-4class,Multiclass,Imbalanced,Real,9,12958,4,0.33
66,optdigits,28,28,optdigits,Multiclass,Balanced,Real,62,5620,10,0.1
67,ozone-level-8hr,1487,9978,ozone-eighthr,Binary,Imbalanced,Real,72,2534,2,0.94
68,ozone_level_v2,40735,145796,ozone-onehr,Binary,Imbalanced,Real,72,2536,2,0.97
69,page-blocks,30,30,page-blocks,Multiclass,Imbalanced,Real,10,5473,5,0.9
70,parkinsons,1488,9951,parkinsons,Binary,Balanced,Real,22,195,2,0.75
71,phoneme,1489,9952,phoneme,Binary,Balanced,Real,5,5404,2,0.71
72,one-hundred-plants-margin,1491,9954,plant-species-leaves-margin,Multiclass,Balanced,Real,65,1600,100,0.01
73,one-hundred-plants-shape,1492,9955,plant-species-leaves-shape,Multiclass,Balanced,Real,65,1600,100,0.01
74,one-hundred-plants-texture,1493,9956,plant-species-leaves-texture,Multiclass,Balanced,Real,65,1599,100,0.01
75,wall-robot-navigation-v3,1526,9942,robot-nav-sensor-readings-4,Multiclass,Balanced,Real,4,5456,4,0.4
76,sa-heart,1498,9961,saheart,Binary,Balanced,Real,9,462,2,0.65
77,seeds,1499,9962,seeds,Multiclass,Balanced,Real,7,210,3,0.33
78,semeion,1501,9964,semeion,Multiclass,Balanced,Real,257,1593,10,0.1
79,credit-g,31,31,statlog-german-credit,Binary,Balanced,Real,20,1000,2,0.7
80,heart-statlog,53,52,statlog-heart,Binary,Balanced,Real,13,270,2,0.56
81,segment,36,36,statlog-image-segmentation,Multiclass,Balanced,Real,18,2310,7,0.14
82,satellite_image_v2,40734,145794,statlog-landsat-satellite,Multiclass,Balanced,Real,36,2859,6,0.3
83,vehicle,54,53,statlog-vehicle-silhouettes,Multiclass,Balanced,Real,18,846,4,0.26
84,steel-plates-fault,1504,9967,steel-plates-faults,Binary,Balanced,Real,33,1941,2,0.65
85,tae,48,47,teaching-assistant-evaluation,Multiclass,Balanced,Real,5,151,3,0.34
86,texture,40499,125922,texture,Multiclass,Balanced,Real,40,5500,11,0.09
87,thoracic-surgery,1506,9969,thoracic-surgery,Binary,Imbalanced,Real,16,470,2,0.85
88,thyroid-allbp,40474,145680,thyroid-allbp,Multiclass,Balanced,Real,26,2800,5,0.58
89,thyroid-allhyper,40475,145792,thyroid-allhyper,Multiclass,Balanced,Real,26,2800,5,0.58
90,user-knowledge,1508,9944,user-knowledge,Multiclass,Imbalanced,Real,6,403,5,0.32
91,vertebra-column,1523,9939,vertebra-column-3c,Multiclass,Balanced,Real,6,310,3,0.48
92,wine,187,2382,wine,Multiclass,Balanced,Real,14,178,3,0.39
93,yeast_v7,40733,145793,yeast-4class,Multiclass,Imbalanced,Real,8,1484,4,0.36
94,libras_move,299,,299_libras_move,,,,,,,
95,grub-damage,338,,338_grub-damage,,,,,,,
96,visualizing_livestock,685,,685_visualizing_livestock,,,,,,,
97,PopularKids,1100,,1100_PopularKids,,,,,,,
98,seismic-bumps,1500,,1500_seismic-bumps,,,,,,,
99,robot-failures-lp4,1519,,1519_robot-failures-lp4,,,,,,,
100,robot-failures-lp5,1520,,1520_robot-failures-lp5,,,,,,,
101,jEdit_4.2_4.3,1048,,1048_jEdit_4.2_4.3,,,,,,,
102,pc4,1049,,1049_pc4,,,,,,,
103,pc3,1050,,1050_pc3,,,,,,,
104,mc2,1054,,1054_mc2,,,,,,,
105,ar4,1061,,1061_ar4,,,,,,,
106,kc2,1063,,1063_kc2,,,,,,,
107,ar6,1064,,1064_ar6,,,,,,,
108,kc3,1065,,1065_kc3,,,,,,,
109,kc1-binary,1066,,1066_kc1-binary,,,,,,,
110,kc1,1067,,1067_kc1,,,,,,,
111,pc1,1068,,1068_pc1,,,,,,,
112,mw1,1071,,1071_mw1,,,,,,,
113,jEdit_4.0_4.2,1073,,1073_jEdit_4.0_4.2,,,,,,,
114,datatrieve,1075,,1075_datatrieve,,,,,,,
115,badges2,1121,,1121_badges2,,,,,,,
116,pc1_req,1167,,1167_pc1_req,,,,,,,
117,breast-cancer,13,,13_breast-cancer,,,,,,,
118,MegaWatt1,1442,,1442_MegaWatt1,,,,,,,
119,PizzaCutter1,1443,,1443_PizzaCutter1,,,,,,,
120,PizzaCutter3,1444,,1444_PizzaCutter3,,,,,,,
121,CostaMadre1,1446,,1446_CostaMadre1,,,,,,,
122,CastMetal1,1447,,1447_CastMetal1,,,,,,,
123,PieChart1,1451,,1451_PieChart1,,,,,,,
124,PieChart2,1452,,1452_PieChart2,,,,,,,
125,PieChart3,1453,,1453_PieChart3,,,,,,,
126,blogger,1463,,1463_blogger,,,,,,,
127,cardiotocography,1466,,1466_cardiotocography,,,,,,,
128,planning-relax,1490,,1490_planning-relax,,,,,,,
129,qsar-biodeg,1494,,1494_qsar-biodeg,,,,,,,
130,qualitative-bankruptcy,1495,,1495_qualitative-bankruptcy,,,,,,,
131,wdbc,1510,,1510_wdbc,,,,,,,
132,wholesale-customers,1511,,1511_wholesale-customers,,,,,,,
133,volcanoes-a1,1527,,1527_volcanoes-a1,,,,,,,
134,volcanoes-a2,1528,,1528_volcanoes-a2,,,,,,,
135,volcanoes-a3,1529,,1529_volcanoes-a3,,,,,,,
136,volcanoes-a4,1530,,1530_volcanoes-a4,,,,,,,
137,volcanoes-b1,1531,,1531_volcanoes-b1,,,,,,,
138,volcanoes-b3,1533,,1533_volcanoes-b3,,,,,,,
139,volcanoes-b5,1535,,1535_volcanoes-b5,,,,,,,
140,volcanoes-b6,1536,,1536_volcanoes-b6,,,,,,,
141,volcanoes-d2,1539,,1539_volcanoes-d2,,,,,,,
142,volcanoes-d3,1540,,1540_volcanoes-d3,,,,,,,
143,acute-inflammations,1556,,1556_acute-inflammations,,,,,,,
144,bank-marketing,1558,,1558_bank-marketing,,,,,,,
145,wilt,1570,,1570_wilt,,,,,,,
146,SPECTF,1600,,1600_SPECTF,,,,,,,
147,molecular-biology_promoters,164,,164_molecular-biology_promoters,,,,,,,
148,mfeat-morphological,18,,18_mfeat-morphological,,,,,,,
149,Australian,292,,292_Australian,,,,,,,
150,credit-a,29,,29_credit-a,,,,,,,
151,oil_spill,311,,311_oil_spill,,,,,,,
152,SPECT,336,,336_SPECT,,,,,,,
153,synthetic_control,377,,377_synthetic_control,,,,,,,
154,diabetes,37,,37_diabetes,,,,,,,
155,sick,38,,38_sick,,,,,,,
156,prnn_crabs,446,,446_prnn_crabs,,,,,,,
157,irish,451,,451_irish,,,,,,,
158,prnn_synth,464,,464_prnn_synth,,,,,,,
159,schizo,466,,466_schizo,,,,,,,
160,profb,470,,470_profb,,,,,,,
161,biomed,481,,481_biomed,,,,,,,
162,tic-tac-toe,50,,50_tic-tac-toe,,,,,,,
163,vote,56,,56_vote,,,,,,,
164,rmftsa_sleepdata,679,,679_rmftsa_sleepdata,,,,,,,
165,diggle_table_a2,694,,694_diggle_table_a2,,,,,,,
